User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion,Dominant_Emotion (Numerical)
1,25,Female,Instagram,120,3,45,10,12,Happiness,0
2,30,Male,Twitter,90,5,20,25,30,Anger,4
3,22,Non-binary,Facebook,60,2,15,5,20,Neutral,1
4,28,Female,Instagram,200,8,100,30,50,Anxiety,3
5,33,Male,LinkedIn,45,1,5,2,10,Boredom,2
6,21,Male,Instagram,150,4,60,15,25,Happiness,0
7,27,Female,Twitter,85,3,30,10,18,Anger,4
8,24,Non-binary,Facebook,110,6,25,12,22,Sadness,5
9,29,Female,LinkedIn,55,2,10,3,8,Neutral,1
10,31,Male,Instagram,170,5,80,20,35,Happiness,0
11,23,Female,Twitter,75,4,35,7,20,Anxiety,3
12,26,Non-binary,Facebook,95,3,20,10,18,Sadness,5
13,34,Male,LinkedIn,65,1,12,4,15,Boredom,2
14,22,Female,Instagram,180,7,90,25,40,Happiness,0
15,28,Male,Twitter,100,6,40,23,28,Anger,4
16,21,Non-binary,Facebook,40,1,5,2,10,Neutral,1
17,35,Female,Instagram,125,4,55,18,30,Anxiety,3
18,27,Male,Twitter,90,3,33,15,25,Sadness,5
19,23,Non-binary,LinkedIn,50,1,8,3,12,Neutral,1
20,32,Female,Instagram,140,5,70,22,33,Happiness,0
21,26,Male,Facebook,75,2,25,10,18,Anxiety,3
22,24,Female,Twitter,105,4,28,14,20,Anger,4
23,29,Male,LinkedIn,60,2,11,5,17,Boredom,2
24,33,Non-binary,Instagram,190,8,95,26,45,Happiness,0
25,22,Female,Twitter,70,3,20,12,15,Sadness,5
26,31,Male,Facebook,80,2,18,8,21,Neutral,1
27,27,Non-binary,LinkedIn,55,1,9,2,11,Anxiety,3
28,25,Female,Instagram,160,6,85,19,32,Happiness,0
29,30,Male,Twitter,90,4,38,17,24,Anger,4
30,26,Non-binary,Facebook,45,1,6,3,10,Sadness,5
31,34,Female,LinkedIn,65,2,13,4,14,Boredom,2
32,28,Male,Instagram,145,5,75,20,35,Happiness,0
